task_id,group3,occupation_title,task_text,human_score_E0_E1_E2,notes
1120.0100-t01,112,"Working Proprietor, Electricity","Working Proprietor, Elect ricity plans, organizes and controls in broad outline, within authority delegated, activities of private or public organization s or establishments or one or more of its branches, departments, etc. engaged in generation, transmission and distribution of ele ctricity to domestic and industrial consumers.","",""
1120.0100-t02,112,"Working Proprietor, Electricity",Is designated according to work performed or powers exercised.,"",""
1213.0100-t01,121,"Manager, Automotive Service","S directs and co-ordinates activities concerned with acquisition of automotive equipment and operation and maintenance of automotive fleet repair and storage facilities for public utility, transportation, commercial, or industrial companies.","",""
1213.0100-t02,121,"Manager, Automotive Service","Co-ordinates activities of staff personnel conducting research and testing programme on automotive equipment considered for acquisition for such factors as operational performance, operational and maintenance costs, safety of operation, and compliance with environmental laws and regulations.","",""
1213.0100-t03,121,"Manager, Automotive Service",Reviews and submits staff proposals for modifications t o vendor or manufacturer.,"",""
1213.0100-t04,121,"Manager, Automotive Service","Directs procurement of all types of company-owned-and-operated automotive equipment, materials, supplies, and parts required to maintain automotive equipment, garages, and storage facilities.","",""
1213.0100-t05,121,"Manager, Automotive Service",Co-ordinates automotive repair and maintenance services to obtain maximum utilisation of automotive equipment and prevent operational delays in other departments.,"",""
1221.0100-t01,122,Sales Manager (Wholesale Trade),"Organizes and manages wholesale trade organizations, or one or more if its branches or departments engaged in buying goods and selling them for profits to retailers or industrial and commercial consumers.","",""
2341.0100-t01,234,Middle School Teacher,Teaches one or more subjects to students of middle school in regional language or English .,"",""
2341.0100-t02,234,Middle School Teacher,"Teaches students of various standards, allots and corrects homework, conducts test and examinations and decide s eligibility for promotion to higher standards, Maintains school registers and records.","",""
2341.0100-t03,234,Middle School Teacher,"May collect fees, conduct sports and extra-curricular activities and be in charge of library, canteen, dramatics, etc.","",""
2341.0100-t04,234,Middle School Teacher,Is designated as Senior Basic Teacher if teaching according to basic educational systems.,"",""
2512.0100-t01,251,Computer Programmer/Software Engineer,Converts data from project specifications and statements of problems and procedures to create or modify computer programs .,"",""
2512.0100-t02,251,Computer Programmer/Software Engineer,"Prepares or receives from SYSTEMS ANALYST, detailed workflow chart and diagram to illustrate sequence o f steps that the program must follow and to describe input, output, and logical operations involved.","",""
2512.0100-t03,251,Computer Programmer/Software Engineer,"Analyses workflow chart and diagram, applying knowledge of computer capabilities, subject matter, and symbolic logic.","",""
2512.0100-t04,251,Computer Programmer/Software Engineer,"Confers with Supervisor and represent atives of departments concerned with program ming to resolve questions of program intent, data input, output requirements, and inclusion of internal checks and controls.","",""
2512.0100-t05,251,Computer Programmer/Software Engineer,Converts detailed logical flow chart to a language that can be processed by a computer.,"",""
2512.0100-t06,251,Computer Programmer/Software Engineer,Enters program codes into the computer system.,"",""
2512.0100-t07,251,Computer Programmer/Software Engineer,Inputs test data into computer.,"",""
2512.0100-t08,251,Computer Programmer/Software Engineer,Observes the computer monitor screen to interpret program-operating codes.,"",""
2512.0100-t09,251,Computer Programmer/Software Engineer,"Corrects program errors, using methods , such as modifying the program or altering sequence of the program steps.","",""
2512.0100-t10,251,Computer Programmer/Software Engineer,Writes instructions to guide operating personnel during production runs.,"",""
2512.0100-t11,251,Computer Programmer/Software Engineer,"Analyses, reviews, and rewrites program s to increase operating efficiency or to adapt the program to new requirements.","",""
2512.0100-t12,251,Computer Programmer/Software Engineer,Compiles and writes documentation of program development and subsequent revisions.,"",""
2512.0100-t13,251,Computer Programmer/Software Engineer,May train workers to use the program.,"",""
2512.0100-t14,251,Computer Programmer/Software Engineer,May assist COMPUTER OPERATORS to resolve problems in running a computer program.,"",""
2512.0100-t15,251,Computer Programmer/Software Engineer,May work with SYSTEMS ANALYST to obtain and analyse project specifications and flow charts.,"",""
2512.0100-t16,251,Computer Programmer/Software Engineer,"May direct and co-ordinate work of others to write, test, and modify computer programs.","",""
2330.0100-t01,233,"Senior Secondary and Secondary School Teacher, Arts","Teaches one or more subjects to students of high school, higher secondary school, multipurpose school in regional language or English .","",""
2330.0100-t02,233,"Senior Secondary and Secondary School Teacher, Arts","Teaches students of various standards, allots and corrects home work .","",""
2330.0100-t03,233,"Senior Secondary and Secondary School Teacher, Arts",Conducts tests; and examinations and decides eligibility for promotion to higher standards.,"",""
2330.0100-t04,233,"Senior Secondary and Secondary School Teacher, Arts",Maintains school registers and re cords.,"",""
2330.0100-t05,233,"Senior Secondary and Secondary School Teacher, Arts","May collect fees, conduct sports and extracurricular activities such as scouting, hobby clubs, dramatics.","",""
2330.0100-t06,233,"Senior Secondary and Secondary School Teacher, Arts","May be in charge of stores and equipment, hostel, transport, canteen, library, etc.","",""
2330.0100-t07,233,"Senior Secondary and Secondary School Teacher, Arts","Is designated as Arts Teacher for teaching history, geography, civics, social science, economics, psychology, etc.","",""
2412.0100-t01,241,Financial Examiner,Enforces or ensures compliance with laws and regulations governing fina ncial and securities institutions and financial and real estate transactions.,"",""
2412.0100-t02,241,Financial Examiner,"May examine, verify correctness of, or establish authenticity of records.","",""
2412.0100-t03,241,Financial Examiner,"Direct and participate in formal and informal meetings with bank directors, trustees, senior management, counsels, outside accountants and consultants in order to gather information and discuss findings.","",""
2412.0100-t04,241,Financial Examiner,Investigate activities of institutions in order to enforce laws and regulations and to ensure legality of transactions and operations or financial solvency.,"",""
2412.0100-t05,241,Financial Examiner,"Prepare reports, exhibits and other supporting schedules that detail an institution's safety and soundness, compliance with laws and regulations, and recommended solutions to questionable financial conditions.","",""
2412.0100-t06,241,Financial Examiner,"Recommend actions to ensure compliance with l aws and regulations, or to protect solvency of institutions.","",""
2412.0100-t07,241,Financial Examiner,"Resolve problems concerning the overall financial integrity of banking institutions including loan investment portfolios, capital, earnings, and specific or large troubled accounts.","",""
2412.0100-t08,241,Financial Examiner,Review audit reports of internal and external auditors in order to monitor adequacy of scope of reports or to discover specific weaknesses in internal routines.,"",""
2412.0100-t09,241,Financial Examiner,"Review balance sheets, operating income and expense accounts, and loan documentation in order to confirm ins titution assets and liabilities.","",""
2412.0100-t10,241,Financial Examiner,"Verify and inspect cash reserves, assigned collateral, and bank-owned securities in order to check internal control procedures.","",""
2412.0100-t11,241,Financial Examiner,"Confer with officials of real estate, securities, or financial institution industries in order to exchange views and discuss issues or pending cases.","",""
2412.0100-t12,241,Financial Examiner,"Establish guidelines for procedures and policies that comply with new and revised regulations, and direct their implementation.","",""
3122.0100-t01,312,"Supervisors and Foremen, Metal Making, Converting and Refining Supervisor and Foreman, Metal Making",Converting and Refining supervises and guides workers engaged in various metal making and refining processes and ensures efficient operations.,"",""
3122.0100-t02,312,"Supervisors and Foremen, Metal Making, Converting and Refining Supervisor and Foreman, Metal Making","Guides workers in setting up and controlling, furnaces, charging of raw materials according to type of metal to be made, mixing of chemicals and ingredients for making alloys, controlling furnace flue, water circulation, tapping, pouring, casting and other operations for m aking required type and quality of metal and alloy.","",""
3122.0100-t03,312,"Supervisors and Foremen, Metal Making, Converting and Refining Supervisor and Foreman, Metal Making","Arranges stock of raw materials, tools, equipment and accessories and ensures efficient and stipulated performance.","",""
3122.0100-t04,312,"Supervisors and Foremen, Metal Making, Converting and Refining Supervisor and Foreman, Metal Making",Checks plants and equipment and gets defects removed.,"",""
3122.0100-t05,312,"Supervisors and Foremen, Metal Making, Converting and Refining Supervisor and Foreman, Metal Making",Maintains records and registers an d submits prescribed returns.,"",""
3122.0100-t06,312,"Supervisors and Foremen, Metal Making, Converting and Refining Supervisor and Foreman, Metal Making",May test samples while processing and make necessary adjustments.,"",""
3122.0100-t07,312,"Supervisors and Foremen, Metal Making, Converting and Refining Supervisor and Foreman, Metal Making","May be designated according to section or work supervised. (Excluded are other metal making, converting and refining supervisory staff, described separately).","",""
3221.0100-t01,322,"Nurse, General","Gives bedside care in cases of illness, assists Physician in examination and op eration of patient and performs other nursing tasks.","",""
3221.0100-t02,322,"Nurse, General","Maintains record of patient's treatment, temperature, respiration, pulse rate, nourishment, progress, etc.","",""
3221.0100-t03,322,"Nurse, General","Administers medicines and injections, as prescribed; dresses injuries and renders first aid.","",""
3221.0100-t04,322,"Nurse, General","Obs erves and reports to Physician or Surgeon mental, physical and emotional condition of patient.","",""
3221.0100-t05,322,"Nurse, General",Prepares patient for examination or operation and helps to maintain healthy and hygienic environment for patient and takes preventive measures to check spread of communicable diseases in ward.,"",""
3221.0100-t06,322,"Nurse, General","Is designated as Matron or Nursing Superintendent, if responsible for supervision of work of nurses and related administrative duties.","",""
3322.0101-t01,332,"Sales Representative, Technical","Travels in allotted area and canvasses for sale of machinery, plants, equipment, accessories, etc.","",""
3322.0101-t02,332,"Sales Representative, Technical",Plans daily visits to prospective clients in allot ted area.,"",""
3322.0101-t03,332,"Sales Representative, Technical","Introduces his products by showing samples, catalogues and relevant literature.","",""
3322.0101-t04,332,"Sales Representative, Technical","Arranges demonstration of his products if necessary and renders necessary instructions regarding use, operations, maintenance, servicing and other technical details.","",""
3322.0101-t05,332,"Sales Representative, Technical","Advises customers in computing costs of installation and savings in production costs, and gives them estimates, blueprints etc.","",""
3322.0101-t06,332,"Sales Representative, Technical","Follows up his visits, discusses and finalises with clients, price, cost of installation, credit terms, etc.","",""
3322.0101-t07,332,"Sales Representative, Technical",Books orders and fo rwards them to controlling office for compliance.,"",""
3322.0101-t08,332,"Sales Representative, Technical",Submits report to controlling office on day-to-day progress of work and makes suggestions for improving sales.,"",""
3322.0101-t09,332,"Sales Representative, Technical",Studies literature supplied by manufacturers and keeps abreast with latest technical developments.,"",""
3322.0101-t10,332,"Sales Representative, Technical","May attend to erection and servicing of machinery or plant supplied and ensure that Technical Demonstrators, Fitters, etc. execute their tasks properly.","",""
4110.0100-t01,411,"Clerk, General","Performs variety of clerical duties such as maintenance of records, receipt and dispatch of dak , routine correspondence, tabulating data, preparing production schedules, wage bills, and insurance and provident fund accounts, keeping record of issue and receipt of library books, maintaining record of incoming and outgoing railway waggons and carriage s, booking and delivering of goods, maintaining auction accounts, calculating and releasing octroi, attending to clerical duties of court, allocating and supervising work of process serving staff, receiving applications for granting arms licences, doing clerical work for legal practi tioner, copying and comparison work, etc.","",""
4110.0100-t02,411,"Clerk, General",May do his own typing.,"",""
4110.0100-t03,411,"Clerk, General",May operate office computing and accounting machine.,"",""
4110.0100-t04,411,"Clerk, General","Is designated according to nature of duties performed such as: Record Clerk/Record Keeper/Record Supplier if e ngaged on receipt, issue and maintenance of record.","",""
4110.0100-t05,411,"Clerk, General",Diarist/Receipt Clerk/Dispatch Clerk if engaged on receipt and dispatch of dak.,"",""
4110.0100-t06,411,"Clerk, General","Correspondence Clerk if engaged in dealing with correspondence from individuals, customers, offices etc.","",""
4110.0100-t07,411,"Clerk, General","Personnel Clerk if attends to clerical work regarding recruitment, employment and service condition of personnel employed.","",""
4110.0100-t08,411,"Clerk, General",Production Clerk/Progress Clerk if engaged on preparation of production schedule based on time and operations involved in various stages of production.,"",""
4110.0100-t09,411,"Clerk, General","Wages Clerk if engaged on calculation, preparation of pay bills or wage sheets based on workers' attendance and terms of employment.","",""
4110.0100-t10,411,"Clerk, General","Insurance Clerk If engaged on performing routing clerical tasks, connected with transaction of life, fire, automobile or ot her type of insurance.","",""
4110.0100-t11,411,"Clerk, General",Provident Fund Clerk if engaged on maintenance of provident fund accounts.,"",""
4110.0100-t12,411,"Clerk, General","Postal Clerk if engaged on performing various clerical tasks in post office such as accepting money for money orders or saving bank deposits, receiving parcels, insured and registered letters.","",""
4110.0100-t13,411,"Clerk, General",Telegraph Clerk if engaged in performing various tasks in receiving and transmitting telegrams.,"",""
4110.0100-t14,411,"Clerk, General",Trains Clerk (Railway) if engaged in keeping records waggons or carriages (their number and capacity) coming in and going out of railway station.,"",""
4110.0100-t15,411,"Clerk, General",Weighing Clerk if engaged in weighing goods and articles received or issued on weighing machine and maintains relevant clerical records.,"",""
4110.0100-t16,411,"Clerk, General","Commercial Clerk (Transport)/Goods Clerk, Parcel Clerk, Freight Clerk if attends to booking and delivery of goods by rail, road, water or air routes.","",""
4110.0100-t17,411,"Clerk, General",Auction Clerk if engaged in maintaining records of auction transactions.,"",""
4110.0100-t18,411,"Clerk, General","Octroi Clerk if engaged in calculating and realising octroi duty, terminal or toll-tax on listed goods entering municipal limits.","",""
4110.0100-t19,411,"Clerk, General","Administrative Clerk, Court/Nazir Court if engaged in allocating and supervising work of process serving staff and realization of fines and dues imposed by court.","",""
4110.0100-t20,411,"Clerk, General","Arms Clerk if engaged in receiving applications for granting arms' licences, their renewals etc.","",""
4110.0100-t21,411,"Clerk, General",Copyist if engaged in preparing copies of document by hand or by typewriter.,"",""
4110.0100-t22,411,"Clerk, General",Munshi if engaged in performing clerical work for legal practitioner.,"",""
4110.0100-t23,411,"Clerk, General",Examiner Court if engaged in comparing hand-written or typed matter from original documents.,"",""
4419.0100-t01,441,Publicity Assistant,"Prepares publicity materials for Government, business or other institutions and conducts visitors in information centre to popularise their products or achievements.","",""
4419.0100-t02,441,Publicity Assistant,Scrutinises newspapers and magazines and collects news and views relating to his employers ’ institution.,"",""
4419.0100-t03,441,Publicity Assistant,"Prepares press releases, feature articles, pamphlets, folders leaflet etc. for distribution to press and public.","",""
4419.0100-t04,441,Publicity Assistant,Sends pre-pared materials to Publicity Officer for approval.,"",""
4419.0100-t05,441,Publicity Assistant,Arranges display of publicity posters or erection of hoardings at important public places.,"",""
4419.0100-t06,441,Publicity Assistant,"Receives visitors at information centre or exhibition and explains to them charts, models and other exhibits displa yed.","",""
4419.0100-t07,441,Publicity Assistant,May attend to clerical work.,"",""
4132.0401-t01,413,Data Entry Machine Operator,"Data Entry Operator operates keyboard or other data entry device to enter data into computer or onto magnetic tape or disk for subs equent entry: Enters alphabetic, numeric, or symbolic data from source documents into computer, using data entry device, such as keyboard or optical scanner, and following format displayed on screen.","",""
4132.0401-t02,413,Data Entry Machine Operator,"Compares data entered with source documents, or re-enters data in verification format on screen to detect errors.","",""
4132.0401-t03,413,Data Entry Machine Operator,"Deletes incorrectly entered data, and re-enters correct data.","",""
4132.0401-t04,413,Data Entry Machine Operator,"May compile, sort, and verify accuracy of data to be entered.","",""
4132.0401-t05,413,Data Entry Machine Operator,May keep record of work completed.,"",""
5223.0100-t01,522,Shop Assistant; Counterhand,"assists Salesman, Retail in effecting sales of goods to customers and keeping goods neat and tidy in retail shop or departmental store.","",""
5223.0100-t02,522,Shop Assistant; Counterhand,"Attends shop or establishment before its opening time, supervises its cleaning and dusting and ensures that all goods are ke pt neat and tidy.","",""
5223.0100-t03,522,Shop Assistant; Counterhand,"Brings required types of goods from stock by measuring or weighing and packs them in paper, carton etc.","",""
5223.0100-t04,522,Shop Assistant; Counterhand,Delivers them to customer on premises or at place specified.,"",""
