industry,nic2,plfs_workers_m,mean_beta,sd_within,share_hi,share_white_collar,epfo_abs_volume,epfo_net_total
"ESTABLISHMENT ENGAGED IN MANUFACTURE, MARKETING SERVICING, USAGE OF COMPUTERS",26+62+63,6.6,0.554,0.255,0.661,0.917,1646244,1627420
SOCIETIES CLUBS OR ASSOCIATIONS,94,1.51,0.389,0.18,0.004,0.83,245523,214981
FINANCING ESTABLISHMENT,64+66,4.86,0.336,0.178,0.224,0.922,1132577,1110045
GENERAL INSURANCE,65,0.5,0.308,0.119,0.052,0.978,27905,27721
EXPERT SERVICES,69+70+71+73+74+78+80+82,6.09,0.248,0.192,0.116,0.683,29677317,29374965
TRADING - COMMERCIAL ESTABLISHMENTS,45+46+47,51.47,0.169,0.095,0.012,0.136,4382505,4170837
HOSPITALS,86,5.93,0.121,0.12,0.018,0.795,380821,372221
SCHOOL,85,15.31,0.113,0.106,0.009,0.838,554002,440354
HOTEL,55+56,9.95,0.094,0.088,0.006,0.158,2530,2516
ENGINEERS - ENGG. CONTRACTORS,33+42+71,4.88,0.089,0.13,0.014,0.266,3898713,3858401
PLASTICS PRODUCTS,22,1.09,0.085,0.134,0.026,0.265,563,563
"ELEC, MECH OR GEN ENGG PRODUCTS",25+27+28,5.65,0.067,0.108,0.013,0.197,3049746,2991782
"ESTABLISHMENTS ENGAGED IN CLEANING,SWEEPING SERVICES",81,0.41,0.041,0.052,0.0,0.058,2049367,2048645
TEXTILES,13,5.3,0.039,0.076,0.008,0.084,1566782,1470272
GARMENTS MAKING,14,10.65,0.037,0.058,0.005,0.053,427090,407292
BUILDING AND CONSTRUCTION INDUSTRY,41+42+43,59.9,0.032,0.047,0.001,0.051,3981464,3919014
