age_band,segment,mean_beta,share_hi_exposure,emp_weight_share
15-19,white_collar,0.20809427181847653,0.027153262212335435,322547.61625000014
15-19,all_workers,0.05662984956851779,0.0006678281827055575,13114480.98
20-24,white_collar,0.2949813071472205,0.17724744259582803,5206964.04125
20-24,all_workers,0.0874965731213552,0.023589862582020275,39123630.194583334
25-29,white_collar,0.33360128808445016,0.2499328528536519,10419811.7575
25-29,all_workers,0.1102711924389968,0.04848585812430466,53711605.393750004
30-34,white_collar,0.2831010631263263,0.16952177909721272,10950438.661249999
30-34,all_workers,0.09704865830828403,0.03074247493762901,60383487.260416664
35-39,white_collar,0.24371237602816304,0.11408320712005286,10253398.020000001
35-39,all_workers,0.08368560433320282,0.017767552150081845,65835772.99333334
40-44,white_collar,0.23430701570009027,0.10733437584654493,8620809.213750001
40-44,all_workers,0.08330870986235213,0.01572290496097325,58851031.57125
45-49,white_collar,0.20959135885630834,0.0716989079556907,7359328.789583333
45-49,all_workers,0.07839487915186416,0.00962107356962634,54843758.72208334
50-54,white_collar,0.2178078266846831,0.07745724163877812,5487465.920000001
50-54,all_workers,0.079790808603958,0.010525606139309026,40381899.92333333
55-59,white_collar,0.19832680813308318,0.04717820142697326,4100153.0187500007
55-59,all_workers,0.07551519537419535,0.005794499179314769,33383013.615833335
60-64,white_collar,0.23086115660538778,0.053037043183289646,1530411.6025
60-64,all_workers,0.0731580204331393,0.003514102285818285,23097935.019583333
